College,Table,State,Stream,Stream Type,Status,Website,,,,,,DEAD
Kent State,kent_state,Ohio,DEAD,null,DEAD,https://blacksquirrelradio.com/radio,,,,,,GOOD
Toledo,toledo,Ohio,https://c23.radioboss.fm:8099/stream,,GOOD,http://www.wxut.com/,,,,,,
Bowling Green State,bowling_green_state,Ohio,https://dvstream2.bgsu.edu/wfal,,GOOD,https://bgfalconmedia.com/,,,,,,
Wright State,wright_state,Ohio,https://server.wwsu1069.org/stream/,,GOOD,https://www.wright.edu/wwsu,,,,,,
Cleveland State,cleveland_state,Ohio,https://shoutcastwidgets.com/ssl/523/.mp3,,DEAD,https://www.wcsb.org/,,,,,,
Akron,akron,Ohio,http://www.streamvortex.com:11300/stream?type=http&nocache=24694,HTTPS,GOOD,https://www.uakron.edu/schlcomm/clubs-organizations/wzip,,,,,,
Case Western Reserve,case_western_reserve,Ohio,https://wruw-stream.wruw.org/hls/stream-32000.m3u8,HLS,WIP,https://wruw-stream.wruw.org/stream.html,,,,,,
Dayton,dayton,Ohio,https://ais-sa1.streamon.fm/7041_48k.aac/playlist.m3u8?listenerId=esTrackblock0556241&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729292027,HLS,GOOD,https://udayton.edu/studev/leadership/involvement/student-life/org-radio.php,,,,,,
Youngstown,youngstown,Ohio,https://streams.radio.co/sc78d93857/listen,,GOOD,https://rookeryradio.com/,,,,,,
Xavier,xavier,Ohio,DEAD,,DEAD,https://mixlr.com/xavier-university-radio/,,,,,,
Connecticut,connecticut,Connecticut,http://stream.whus.org:8000/whusfm,,GOOD,https://whus.org/,,,,,,
Yale,yale,Connecticut,https://s3.radio.co/s2af1cfe0c/listen,,GOOD,https://wybc.com/,,,,,,
Central Connecticut State,central_connecticut_state,Connecticut,https://listen.mixlr.com/724f15e54447073a988cd8a2d34898e0,,GOOD,https://wfcsradio.com/,,,,,,
Southern Connecticut State,southern_connecticut_state,Connecticut,https://broadcast.shoutcheap.com/stream/wsinradi/stream.pls,,WIP,https://wsinradio.org/,,,,,,
Quinnipiac,quinnipiac,Connecticut,https://ice64.securenetsystems.net/WQAQ,,GOOD,https://wqaq.com/,,,,,,
Sacred Heart,sacred_heart,Connecticut,https://wshu-iad.streamguys1.com/wshu-air,,GOOD,https://www.wshu.org/,,,,,,
New England,new_england,Connecticut,https://wnecfm.radioca.st/stream?type=http,,GOOD,https://wnecfm.org/,,,,,,
Maine,maine,Maine,http://wmeb-stream.maine.edu:8000/wmeb,,GOOD,https://umaine.edu/wmeb/listen-now-2/,,,,,,
Southen Maine,southern_maine,Maine,https://stream.pacificaservice.org:9000/wmpg,,GOOD,https://www.wmpg.org/,,,,,,
Maine at Augusta,maine_at_augusta,Maine,https://das-edge10-live365-dal03.cdnstream.com/a77762,,GOOD,https://www.uma.edu/radio/,,,,,,
Boston,boston,Massachusetts,http://wtbu.bu.edu:1800/,,GOOD,https://sites.bu.edu/wtbu/,,,,,,
Massachusetts Amherst,massachusetts_amherst,Massachusetts,https://usa5.fastcast4u.com/proxy/qernhlca?mp=/1,,GOOD,https://www.umass.edu/wmua/,,,,,,
Harvard,harvard,Massachusetts,https://stream.whrb.org/whrb-he-aac,,GOOD,https://www.whrb.org/,,,,,,
Northeastern,northeastern,Massachusetts,https://audio-edge-qse4n.yyz.g.radiomast.io/dafd1179-5404-4939-9c1c-a014c6964254,,GOOD,https://wrbbradio.org/,,,,,,
Massachusetts Lowell,massachusetts_lowell,Massachusetts,https://securestream.casthost.net:8609/stream,,GOOD,https://www.wuml.org/,,,,,,
Massachusetts Boston,massachusetts_boston,Massachusetts,https://wumb.streamguys1.com/wumb919fast,,GOOD,https://wumb.org/,,,,,,
Boston College,boston_college,Massachusetts,https://stream.wzbc.org/wzbc,,GOOD,https://www.wzbc.org/,,,,,,
